mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q617511,Снежка,Point(15.740277777 50.736111111),1603.3,кристаллические сланцы
http://www.wikidata.org/entity/Q619701,Зеленгора,Point(18.487777777 43.4225),2014,осадочная горная порода
http://www.wikidata.org/entity/Q746787,Олдоиньо-Ленгаи,Point(35.913333333 -2.761666666),2960,Карбонатит
http://www.wikidata.org/entity/Q751870,Mount Silverthrone,Point(-126.113333333 51.517777777),2865,Липарит
http://www.wikidata.org/entity/Q752287,Яворице,Point(15.339444444 49.221111111),837,гранит
http://www.wikidata.org/entity/Q752994,Крабла,Point(-16.783333333 65.733333333),818,базальт
http://www.wikidata.org/entity/Q752994,Крабла,Point(-16.783333333 65.733333333),818,Липарит
http://www.wikidata.org/entity/Q753098,Vogel,Point(13.8125 46.238333333),1922,известняк
http://www.wikidata.org/entity/Q760738,Кизимен,Point(160.319444444 55.1325),2376,андезит
http://www.wikidata.org/entity/Q765482,Mont Saint-Bruno,Point(-73.31 45.555),218,магматические горные породы
http://www.wikidata.org/entity/Q766490,Бачелор,Point(-121.688333333 43.979166666),2764,андезит
http://www.wikidata.org/entity/Q668570,Crast' Agüzza,Point(9.918055555 46.370833333),3870,гранит
http://www.wikidata.org/entity/Q669173,Mont Chéry,Point(6.64805556 46.16888889),1826,осадочная горная порода
http://www.wikidata.org/entity/Q669744,Ден-де-Вольон,Point(6.35132 46.68402),1483,известняк
http://www.wikidata.org/entity/Q670233,Blanca Peak,Point(-105.486 37.5772),4374,гранит
http://www.wikidata.org/entity/Q670867,Dremelspitze,Point(10.6 47.233333333),2733,доломит
http://www.wikidata.org/entity/Q671067,Wetterspitze,Point(10.369447 47.206234),2895,известняк
http://www.wikidata.org/entity/Q671146,Glungezer,Point(11.528055555 47.208611111),2677,Филлит
http://www.wikidata.org/entity/Q672504,Gummfluh,Point(7.194916666 46.440583333),2458,известняк
http://www.wikidata.org/entity/Q672936,Рысы,Point(20.088055555 49.179444444),2499,гранит
http://www.wikidata.org/entity/Q672936,Рысы,Point(20.088055555 49.179444444),2501,гранит
http://www.wikidata.org/entity/Q674126,Le Chasseron,Point(6.538472222 46.851666666),1607,известняк
