mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q13425563,Krivin,54.15,Словакия,
http://www.wikidata.org/entity/Q15992106,Eulenberg (Berg),100,Германия,
http://www.wikidata.org/entity/Q16608834,El Castellar,4.39916,Испания,
http://www.wikidata.org/entity/Q16663669,Q16663669,25,Франция,известняк
http://www.wikidata.org/entity/Q16895468,Mount Takht-e Suleyman,4083,Иран,
http://www.wikidata.org/entity/Q17127663,Teufelsfelsen,200,Германия,
http://www.wikidata.org/entity/Q15277734,Sierra de San Pedro,800,Испания,
http://www.wikidata.org/entity/Q15457470,Hricovec,21836,Словакия,
http://www.wikidata.org/entity/Q18410858,Bogenberg,600000,Германия,
http://www.wikidata.org/entity/Q19285656,Hohe Ley,47.5,Германия,
http://www.wikidata.org/entity/Q19285656,Hohe Ley,49.7,Германия,
http://www.wikidata.org/entity/Q20861032,Ragac,9.68,Словакия,
http://www.wikidata.org/entity/Q20866601,Grunik,4627,Словакия,
http://www.wikidata.org/entity/Q21076406,Djebel Touati,961,Тунис,
http://www.wikidata.org/entity/Q21081377,Famara,140,Испания,
http://www.wikidata.org/entity/Q21535997,Sierra Grande de Hornachos,12469.54,Испания,
http://www.wikidata.org/entity/Q21740059,Банди-Туркестан,21600,Афганистан,
http://www.wikidata.org/entity/Q21819384,Galgenberg bei Wellheim,210000,Германия,
http://www.wikidata.org/entity/Q21843712,Висячий Камень,537,Россия,
http://www.wikidata.org/entity/Q22527447,Mitchell Range,458,Канада,
http://www.wikidata.org/entity/Q23715966,Serranía de La Lindosa,12000,Колумбия,
http://www.wikidata.org/entity/Q23987879,Sierra de Bienvenida,480.58,Испания,
http://www.wikidata.org/entity/Q23987913,Sierra Blanquilla,1546.99607,Испания,
http://www.wikidata.org/entity/Q23987913,Sierra Blanquilla,1547,Испания,
http://www.wikidata.org/entity/Q23993696,Sierra de Francia,628.43,Испания,
http://www.wikidata.org/entity/Q25017965,Oros Mavrovouni,37126.92,Греция,
http://www.wikidata.org/entity/Q26759988,Mount Lumut,42000,Индонезия,
http://www.wikidata.org/entity/Q26920642,Scheiber Spitzberg,25506.444,Германия,
http://www.wikidata.org/entity/Q26986193,Kūh-e Sefīd Kūh,69389,Иран,
http://www.wikidata.org/entity/Q27343424,Kamilja,228,Республика Косово,
http://www.wikidata.org/entity/Q27463235,Holý vrch u Jílového,40.6095,Чехия,
http://www.wikidata.org/entity/Q27516290,Steinberg,33585.972,Германия,
http://www.wikidata.org/entity/Q27787520,Cerro Altamirano,588.475,Мексика,
http://www.wikidata.org/entity/Q28666611,Кашкабаш,630,Россия,
http://www.wikidata.org/entity/Q28974235,Djebel Saddine,2600,Тунис,
http://www.wikidata.org/entity/Q30168317,Maltberget,0,Швеция,
http://www.wikidata.org/entity/Q30168317,Maltberget,47.798,Швеция,
http://www.wikidata.org/entity/Q30168317,Maltberget,50.34,Швеция,
http://www.wikidata.org/entity/Q30168317,Maltberget,50.35,Швеция,
http://www.wikidata.org/entity/Q30504539,Wolfsberg,1620000,Германия,
http://www.wikidata.org/entity/Q30752659,Q30752659,1400,Зимбабве,
http://www.wikidata.org/entity/Q31353969,Rom-Berg,650000,Германия,
http://www.wikidata.org/entity/Q31513066,Тосэн-дзан,9.87,Япония,
http://www.wikidata.org/entity/Q31582796,Гора Уйташ,15.8,Россия,
http://www.wikidata.org/entity/Q31634880,Montagne de Parves,1879.91,Франция,
http://www.wikidata.org/entity/Q42899191,Piedra Pintada Natural Monument,14.3,Венесуэла,
http://www.wikidata.org/entity/Q49967523,Monte Malachin,169,Италия,
http://www.wikidata.org/entity/Q57232419,Natternberg,175000,Германия,
http://www.wikidata.org/entity/Q59160625,Kalvarienberg in Wörnitzstein,5000,Германия,
http://www.wikidata.org/entity/Q59181942,Umlaufberg und Terrassen bei Niederwies,47500,Германия,
